City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
199,Rahimatpur,IN,77.11,scattered clouds,17.6,74.2,Swami Prasad Ice-cream parlor
201,Savannah Bight,HN,86.0,scattered clouds,16.45,-85.85,Villa on Dunbar Rock
202,Padang,ID,75.2,moderate rain,-0.9492,100.3543,Mercure Padang
205,Cidreira,BR,76.71,scattered clouds,-30.1811,-50.2056,Hotel Castelo
206,Imbituba,BR,80.6,broken clouds,-28.24,-48.6703,Praia Hotel Imbituba
208,Okitipupa,NG,77.97,clear sky,6.5047,4.7839,Coastal Hotel & Suites
209,Souillac,MU,75.2,few clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
212,Pangkalanbuun,ID,74.14,overcast clouds,-2.6833,111.6167,Grand Kecubung Hotel
213,Shaikhpura,IN,77.11,clear sky,25.15,85.85,Hotel Ashoka
217,Bonthe,SL,79.48,scattered clouds,7.5264,-12.505,Bonthe Holiday Village
225,Santa Isabel Do Rio Negro,BR,81.07,broken clouds,-0.4139,-65.0192,Hotel GSA
226,Huejuquilla El Alto,MX,85.28,few clouds,22.6,-103.8667,Hotel Huexuquillan
228,Saquarema,BR,84.2,clear sky,-22.92,-42.5103,Hotel Fazenda Sol e Lua
229,Nhulunbuy,AU,77.0,light rain,-12.2333,136.7667,East Arnhem Real Estate
231,Laguna,US,80.01,clear sky,38.421,-121.4238,Holiday Inn Express & Suites Elk Grove Central - Hwy 99
233,Qandala,SO,81.03,clear sky,11.472000000000001,49.8728,
235,Daman,IN,79.75,clear sky,20.4167,72.85,Silver Sands Beach Resort
241,Davila,PH,73.4,few clouds,18.4726,120.5763,Blue Ridge Beach Resort
246,Coahuayana,MX,82.4,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
248,Lubu,CN,75.99,few clouds,23.1742,112.2809,Classic View Hotel
254,Namibe,AO,74.07,light rain,-15.1961,12.1522,Hotel Chik Chik Namibe
256,Talara,PE,87.8,clear sky,-4.5772,-81.2719,Hostal Oro Negro
261,Miandrivazo,MG,74.59,clear sky,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
262,Bandarbeyla,SO,78.08,few clouds,9.4942,50.8122,JABIR HOTEL
266,Alta Floresta,BR,84.2,broken clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
268,Bom Jardim,BR,75.2,broken clouds,-7.7958,-35.5872,Pousada do Posto Jose Breno
269,Sassandra,CI,77.18,overcast clouds,4.95,-6.0833,la terrasse
271,Puerto Colombia,CO,87.8,few clouds,10.9878,-74.9547,Hotel El Emigrante
272,Tela,HN,87.8,scattered clouds,15.7833,-87.45,Hotel & Restaurante Cesar Mariscos
273,Pointe Michel,DM,82.4,broken clouds,15.25,-61.3833,Castle Comfort Lodge Dive Dominica
275,Biak,ID,75.88,moderate rain,-0.9131,122.8766,Penginapan Kim
276,Namatanai,PG,80.4,broken clouds,-3.6667,152.4333,Namatanai Hotel
280,Bubaque,GW,75.72,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
285,San Juan,AR,79.32,clear sky,-31.5375,-68.5364,Hotel Provincial
286,Lompoc,US,73.0,clear sky,34.6391,-120.4579,Holiday Inn Express Lompoc
288,Hervey Bay,AU,70.0,overcast clouds,-25.2986,152.8535,Shelly Bay Resort
289,Anton Lizardo,MX,84.99,broken clouds,19.05,-95.9833,Hotel CocoAventura
294,Saint-Philippe,RE,77.0,clear sky,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
