City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Kapaa,US,22.0752,-159.319,77.0,69,90,18.41,overcast clouds
79,Kruisfontein,ZA,-34.0033,24.7314,63.0,73,87,5.01,overcast clouds
80,Lagoa,PT,39.05,-27.9833,59.63,81,100,18.95,overcast clouds
81,Sao Geraldo Do Araguaia,BR,-6.4006,-48.555,78.21,88,41,1.25,moderate rain
82,Miyako,JP,39.6367,141.9525,52.11,98,100,8.68,light rain
83,Flinders,AU,-34.5833,150.8552,57.99,91,5,1.01,clear sky
84,Chokurdakh,RU,70.6333,147.9167,-16.42,100,98,4.97,overcast clouds
85,Sao Joao Da Barra,BR,-21.6403,-41.0511,80.6,83,0,4.61,clear sky
86,Kailua,US,21.4022,-157.7394,80.6,53,75,12.66,broken clouds
87,Port Hardy,CA,50.6996,-127.4199,42.8,70,75,23.02,light rain
88,Kieta,PG,-6.2167,155.6333,79.66,83,72,3.27,light rain
89,Mar Del Plata,AR,-38.0023,-57.5575,66.2,82,20,13.8,few clouds
90,Puerto Ayora,EC,-0.7393,-90.3518,82.4,78,20,9.22,few clouds
91,Hilo,US,19.7297,-155.09,73.4,73,90,5.75,light rain
92,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,80.91,70,60,2.59,broken clouds
93,Leo,BF,11.1,-2.1,82.89,15,2,8.3,clear sky
94,Kaitangata,NZ,-46.2817,169.8464,56.32,92,64,3.62,broken clouds
95,Shiyan,CN,32.6475,110.7781,59.61,91,22,0.85,few clouds
96,Bilibino,RU,68.0546,166.4372,-15.12,92,59,1.32,broken clouds
97,Tiarei,PF,-17.5333,-149.3333,86.0,66,20,6.91,light rain
98,Port Alfred,ZA,-33.5906,26.891,65.66,75,100,19.24,overcast clouds
99,Vostok,RU,46.4856,135.8833,32.95,90,100,6.96,snow
100,Punta Arenas,CL,-53.15,-70.9167,53.6,47,0,12.66,clear sky
101,Fare,PF,-16.7,-151.0167,82.02,73,14,21.54,few clouds
102,Salalah,OM,17.0151,54.0924,78.8,57,0,3.44,clear sky
103,Hamilton,US,39.1834,-84.5333,45.0,57,90,24.16,overcast clouds
104,Talnakh,RU,69.4865,88.3972,-13.45,97,60,2.77,broken clouds
105,Tiksi,RU,71.6872,128.8694,1.67,99,100,1.79,overcast clouds
106,Luderitz,NA,-26.6481,15.1594,62.38,85,0,5.12,clear sky
107,Hadgaon,IN,19.5,77.6667,83.48,14,5,4.52,clear sky
108,Krasnoselkup,RU,65.7,82.4667,-7.35,99,6,9.55,clear sky
109,Airai,TL,-8.9266,125.4092,60.78,95,100,2.19,light rain
110,Hobyo,SO,5.3505,48.5268,80.19,79,40,10.92,scattered clouds
111,Iquique,CL,-20.2208,-70.1431,69.8,68,75,13.8,broken clouds
112,Constitucion,CL,-35.3333,-72.4167,66.06,50,0,3.18,clear sky
113,Cooma,AU,-36.2333,149.1333,41.0,93,21,1.45,few clouds
114,Lebu,CL,-37.6167,-73.65,61.0,75,0,12.8,clear sky
115,Qaqortoq,GL,60.7167,-46.0333,24.8,58,0,4.34,clear sky
116,Athabasca,CA,54.7169,-113.2854,50.0,46,100,4.61,light rain
117,Margate,GB,51.3813,1.3862,50.0,71,92,5.01,overcast clouds
118,Arrifes,PT,37.7667,-25.7,60.8,72,75,8.05,broken clouds
119,Havoysund,NO,70.9963,24.6622,35.6,69,0,2.3,clear sky
120,Port Hedland,AU,-20.3167,118.5667,80.6,65,12,2.3,few clouds
121,Tateyama,JP,34.9833,139.8667,60.8,94,75,12.66,broken clouds
122,Batemans Bay,AU,-35.7167,150.1833,55.99,92,10,3.0,clear sky
123,Neiafu,TO,-18.65,-173.9833,84.2,79,40,8.05,light rain
124,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,23.0,42,100,6.71,overcast clouds
125,Fukue,JP,32.6881,128.8419,59.9,77,0,10.58,clear sky
126,Dumas,US,35.8656,-101.9732,69.01,24,1,23.02,clear sky
127,Saint George,US,37.1041,-113.5841,73.0,19,1,6.91,clear sky
128,Saldus,LV,56.6636,22.4881,35.78,81,30,9.37,scattered clouds
129,Mosquera,CO,4.7059,-74.2302,64.4,55,40,8.05,scattered clouds
130,Nioro,GM,13.35,-15.75,82.02,34,4,10.58,clear sky
131,Grand Gaube,MU,-20.0064,57.6608,77.0,81,2,2.1,clear sky
132,Torbay,CA,47.6666,-52.7314,28.0,74,40,5.75,light snow
133,Lorengau,PG,-2.0226,147.2712,82.27,77,100,8.68,overcast clouds
134,East London,ZA,-33.0153,27.9116,66.16,74,100,13.38,overcast clouds
135,Ciampino,IT,41.8016,12.6066,55.0,82,0,2.3,clear sky
136,Longyearbyen,SJ,78.2186,15.6401,30.2,74,20,4.32,few clouds
137,Touros,BR,-5.1989,-35.4608,82.4,78,20,9.22,few clouds
138,Cayenne,GF,4.9333,-52.3333,82.4,74,75,10.36,broken clouds
139,Kavaratti,IN,10.5669,72.642,83.35,72,100,5.17,overcast clouds
140,Karratha,AU,-20.7377,116.8463,86.16,47,83,6.87,broken clouds
141,Upernavik,GL,72.7868,-56.1549,-19.64,79,23,2.82,few clouds
142,Charyshskoye,RU,51.3978,83.5598,34.86,99,100,3.53,snow
143,Poirino,IT,44.9208,7.8469,57.99,87,0,9.22,clear sky
144,Port Lincoln,AU,-34.7333,135.8667,60.67,83,2,7.65,clear sky
145,Watrous,CA,51.6668,-105.4679,62.6,23,9,8.05,clear sky
146,Kirensk,RU,57.7853,108.1119,19.9,97,100,2.13,overcast clouds
147,Merrill,US,45.1805,-89.6835,37.4,48,40,18.41,scattered clouds
148,Port Elizabeth,ZA,-33.918,25.5701,64.4,77,40,12.66,scattered clouds
149,Abrau-Dyurso,RU,44.69,37.59,39.2,87,9,6.71,clear sky
150,Calabar,NG,4.9517,8.322,79.83,83,8,2.28,clear sky
151,Enshi,CN,30.3,109.4833,60.57,79,28,2.84,light rain
152,Nouakchott,MR,18.0858,-15.9785,69.8,78,0,18.41,clear sky
153,Vila Franca Do Campo,PT,37.7167,-25.4333,60.8,72,75,8.05,broken clouds
154,Whitehorse,CA,60.7161,-135.0538,23.0,33,75,13.8,broken clouds
155,Srednekolymsk,RU,67.45,153.6833,-7.44,99,100,4.41,overcast clouds
156,Mayo,US,38.8876,-76.5119,73.4,64,20,9.22,few clouds
157,Chibombo,ZM,-14.6569,28.0706,64.94,92,62,6.46,light rain
